name,author,rating,new_price,old_price
"Сила подсознания, или Как изменить жизнь за 4 недели",Джо Диспенза,9.3,856.0,1027.0
"Иди туда, где страшно. Именно там ты обретешь силу",Джим Лоулесс,9.1,1001.0,1201.0
"Психология масс и анализ человеческого ""я""",Зигмунд Фрейд,8.8,200.0,279.0
Человек для себя,Эрих Фромм,9.3,296.0,359.0
"Как разговаривать с кем угодно, когда угодно и где угодно (Покет серия)",Кинг Л.,8.8,390.0,468.0
"Невидимые женщины: Почему мы живем в мире, удобном только для мужчин. Неравноправие, основанное на данных.",Криадо Перес К.,9.3,840.0,1008.0
"Свобода от тревоги. Справься с тревогой, пока она не расправилась с тобой (#экопокет)",Лихи Р.,8.7,517.0,599.0
"Гормоны счастья. Приучите свой мозг вырабатывать серотонин, дофамин и окситоцин. NEON Pocketbooks",Лоретта Грациано Бройнинг,,391.0,519.0
"Женщины, которые ждут слишком долго. Как перестать тратить время на недоступных, женатых, не готовых к обстоятельствам мужчин, и обрести счастье в личной жизни",Марни Фейерман,,305.0,369.0
Жизнь в свою пользу: фокус на себе,Татьяна Другова,,688.0,829.0
Если с ребенком трудно,Людмила Петрановская,9.5,305.0,369.0
Большая пятерка для жизни. Как найти и реализовать свое предназначение,Джон Стрелеки,7.5,360.0,439.0
Тысячеликий герой,Кэмпбелл Джозеф,9.4,788.0,1359.0
Тренируй свой мозг. Японская система развития интеллекта и памяти. Продвинутая версия,Рюта Кавашима,9.4,,
Новые правила работы. Генератор продуктивного спокойствия,Брюс Дейсли,8.7,165.0,999.0
"Женщина, у которой есть план. Правила счастливой жизни",Мэй Маск,8.6,959.0,1151.0
"Путь к счастливым переменам, или Твоя книга удачи","Инесса Захарян,",,141.0,549.0
"Эмоциональные триггеры. Как понять, что вас огорчает, злит или пугает, и обратить реакцию в ресурс. NEON Pocketbooks",Дэвид Ричо,,391.0,519.0
"Гении и аутсайдеры. Почему одним все, а другим ничего? NEON Pocketbooks",Малкольм Гладуэлл,,391.0,519.0
Осколки детских травм. Почему мы болеем и как это остановить (покет),Донна Джексон Наказава,,346.0,415.0
"Игры, в которые играют люди",Эрик Берн,,278.0,339.0
"Хорошие плохие чувства: Почему эволюция допускает тревожность, депрессию и другие психические расстройства",Несси Р.,,490.0,588.0
Криминальная личность. Почему примерный семьянин может оказаться опасным преступником,Стэнтон Саменов,,756.0,919.0
"Новая гостья кафе на краю земли. Как сделать правильный выбор, когда оказываешься на перепутье",Джон Стрелеки,,356.0,427.0
Как завоевывать друзей и оказывать влияние на людей,Дейл Карнеги,9.0,375.0,469.0
"Иди туда, где страшно. Именно там ты обретешь силу",Джим Лоулесс,,339.0,409.0
"С тобой я дома. Книга о том, как любить друг друга, оставаясь верными себе (покет)",Ольга Примаченко,,469.0,569.0
"Гении и аутсайдеры. Почему одним все, а другим ничего?",Малкольм Гладуэлл,9.3,800.0,1549.0
Хижина (новое издание),Уильям Пол Янг,8.8,314.0,379.0
"Гормоны счастья. Как приучить мозг вырабатывать серотонин, дофамин, эндорфин и окситоцин",Лоретта Грациано Бройнинг,8.9,915.0,1549.0
"Сила подсознания, или Как изменить жизнь за 4 недели",Джо Диспенза,9.5,856.0,1027.0
Язык телодвижений. Как читать мысли окружающих по их жестам,Аллан Пиз,9.6,379.0,469.0
Что такое жизнь?,Эрвин Шредингер,9.3,296.0,359.0
"Сила подсознания, или Как изменить жизнь за 4 недели",Джо Диспенза,9.1,545.0,654.0
"Богатый папа, бедный папа (обл.). 2-е юбилейное изд",Кийосаки Р.,9.0,1000.0,1428.0
Karmalogic,Ситников А.,,2125.0,2741.0
"Критическое мышление: Анализируй, сомневайся, формируй свое мнение (обложка)",Том Чатфилд,,1190.0,1428.0
Искусство быть,Эрих Фромм,9.3,278.0,339.0
Похвалите меня: Как перестать зависеть от чужого мнения и обрести уверенность в себе + Покет-серия,"Рапсон Дж., Инглиш К.",8.7,390.0,468.0
"Принцип 80/20. Как работать меньше, а зарабатывать больше (дополненное издание)",Ричард Кох,9.0,494.0,599.0
Лжец на кушетке,Ирвин Ялом,9.4,425.0,510.0
Методы практической психологии. Раскрой себя,Екатерина Михайлова,,209.0,649.0
Революция надежды,Эрих Фромм,9.5,278.0,339.0
Понять природу человека,Адлер Альфред,9.3,229.0,309.0
Психологическое айкидо. Учебное пособие,Литвак М.,9.2,250.0,349.0
Важные годы. Почему не стоит откладывать жизнь на потом. NEON Pocketbooks,Мэг Джей,8.7,371.0,499.0
Обвиняя жертву. Почему мы не верим жертвам и защищаем насильников,Дебора Туэрхаймер,,200.0,899.0
"Зоопарк в твоей голове. 25 психологических синдромов, которые мешают нам жить","Артем Толоконин,",8.6,883.0,1060.0
"Почему я не худею. Дело не в диете, дело – в голове",Томилова А.,9.0,790.0,948.0
Главное — ценить себя. Как перестать подстраиваться под других и научиться дорожить собой,Алексей Козлов,,738.0,886.0
Лжец на кушетке,Ирвин Ялом,,278.0,334.0
НИ СЫ. Будь уверен в своих силах и не позволяй сомнениям мешать тебе двигаться вперед,Джен Синсеро,,339.0,409.0
"Ты - причина. Почему мы всегда получаем то, чего заслуживаем, и как навести порядок в семье и в жизни",Юлия Ивлиева,,738.0,886.0
"Нейроразвитие детей от 3 до 12 лет: игра, речь, моторика, почерк",Вероника Мазина,,651.0,781.0
"Ты - сама себе психолог. Отпусти прошлое, полюби настоящее, создай желаемое будущее.",Елена Друма,,360.0,439.0
"Психология русской сказки. Что скрывают Иван Царевич, Баба Яга, Василиса Премудрая и другие знакомые с детства герои",Светлана Патрушева,,800.0,969.0
Сила воли. Как развить и укрепить,Келли Макгонигал,9.4,960.0,1249.0
"Люди, которые играют в игры",Эрик Берн,9.4,538.0,659.0
Как мотивировать одним словом. 50 приемов НЛП,Наталья Титова,7.7,165.0,239.0
Эффект Люцифера. Почему хорошие люди превращаются в злодеев,Филип Зимбардо,9.5,1290.0,1548.0
"Джедайские техники. Как воспитать свою обезьяну, опустошить инбокс и сберечь мыслетопливо",Дорофеев Максим,9.6,1006.0,1309.0
Галлюцинации,Оливер Сакс,9.4,330.0,399.0
Тонкое искусство пофигизма: Парадоксальный способ жить счастливо,Марк Мэнсон,7.6,589.0,707.0
"Игры, в которые играют люди",Эрик Берн,9.2,337.0,404.0
Сила воли не работает. Пусть твое окружение работает вместо нее,Бенжамин Харди,,731.0,889.0
"Психотерапия, и с чем ее едят?",Дмитрий Фролов,,209.0,649.0
Смелая,Роуз Макгоуэн,,165.0,599.0
"Монах, который продал свой ""феррари"". Притча об исполнении желаний и поиске своего предназначения",Робин Шарма,9.2,360.0,439.0
Психология искусства,Выготский Лев Семенович,9.6,250.0,329.0
Как научиться оптимизму: Измените взгляд на мир и свою жизнь (Покет),Селигман Мартин,9.4,440.0,528.0
Критика практического разума,Иммануил Кант,9.7,200.0,279.0
Здоровое общество,Эрих Фромм,9.7,339.0,409.0
"Ясно, понятно: Как доносить мысли и убеждать людей с помощью слов",Максим Ильяхов,8.9,1090.0,1308.0
Мышление и речь,Выготский Лев Семенович,8.6,278.0,339.0
"Ты в порядке: Книга о том, как нельзя с собой и не надо с другими",Адлер А.,9.4,740.0,888.0
Игра в желание. Как найти любовь за 60 дней,Шеннон Будрэм,,141.0,599.0
Пять песен о нас. История о настоящей любви,"Гэри Чепмен,",,141.0,599.0
"Нанопривычки. Маленькие шаги, которые приведут к большим переменам",Фогг Би Джей,,494.0,599.0
"Биполярное расстройство: гид по выживанию для тех, кто часто не видит белой полосы","Евгений Касьянов,",,644.0,779.0
Телесная психология: услышать тело — исцелить душу,Екатерина Суратова,9.5,600.0,729.0
"Лягушка, слон и брокколи. Как жить и как не надо",Алексей Марков,,581.0,709.0
"Мужчины с Марса, женщины с Венеры",Грэй Дж.,8.4,513.0,759.0
"Как работать над собой. И создать будущее, которое отличается от настоящего",Николь ЛеПера,,200.0,849.0
"Ловушка счастья. Перестаем переживать - начинаем жить (2-е издание, дополненное и переработанное)",Расс Хэррис,,756.0,919.0
СДВГ 2.0. Новые стратегии успешной жизни людей с синдромом дефицита внимания,"Эдвард М. Хеллоуэлл,",,644.0,779.0
Сила культа. Что делает человека фанатиком и как этого избежать,Аманда Монтелл,,183.0,799.0
Прежде чем мы привяжемся. Почему мы повторяем одни и те же ошибки в отношениях с разными людьми,Дарья Митрофанова,9.4,746.0,895.0
"Хюгге, или Уютное счастье по-датски. Как я целый год баловала себя ""улитками"", ужинала при свечах и читала на подоконнике",Хелен Расселл,,268.0,329.0
Когда Ницше плакал,Ирвин Ялом,,306.0,367.0
"Новая терапия тревоги, депрессии и настроения. Без таблеток. Революционный метод",Бернс Дэвид,,869.0,1039.0
"Не ищите апельсины в черничном поле. Сборник озарений о том, что действительно важно #1",Джон Стрелеки,,513.0,619.0
"Ребенок в тебе должен обрести дом. Вернуться в детство, чтобы исправить взрослые ошибки. Подарочное издание + стикерпак от опрокинутый лес",Стефани Шталь,,1044.0,1249.0
Комплексное ПТСР. Как справиться с гневом и страхом и вернуть идентичность. Воркбук,Тамара Макклинток-Гринберг,,512.0,679.0
Дарующая жизнь. Женские архетипы в материнстве: от Деметры и Персефоны до Бабы-яги и Василисы Прекрасной,Лиза Марчиано,,696.0,919.0
Ты вся светишься! Как зажечь внутреннее солнце и найти путь к счастью,Лаура Малина Сейлер,,339.0,409.0
Важные годы. Почему не стоит откладывать жизнь на потом,Мэг Джей,9.0,1006.0,1549.0
"Игры, в которые играют люди. Люди, которые играют в игры",Эрик Берн,9.1,883.0,1060.0
Магическая уборка. Японское искусство наведения порядка дома и в жизни,Мари Кондо,8.8,625.0,759.0
В интернете кто-то неправ,Ася Казанцева,9.5,906.0,1099.0
"Игры, в которые играют люди: Психология человеческих взаимоотношений",Эрик Берн,9.3,450.0,549.0
Психология влияния. Как научиться убеждать и добиваться успеха,Роберт Чалдини,8.9,346.0,412.0
"7 принципов счастливого брака, или Эмоциональный интеллект в любви",Джон Готтман,9.5,450.0,549.0
Сверхъестественный разум. Как обычные люди делают невозможное с помощью силы подсознания,Джо Диспенза,8.5,800.0,969.0
Обними меня крепче. 7 диалогов для любви на всю жизнь,Сью Джонсон,8.5,695.0,1249.0
Новые правила деловой переписки,"Ильяхов М., Сарычева Л.",9.0,840.0,1008.0
