name,author,rating,new_price,old_price
Часодеи. Книга 1. Часовой ключ,Щерба Наталья Васильевна,9.4,647.0,809.0
"Приключения Буратино, или Золотой ключик. Книжка-картинка",Толстой Алексей Николаевич,9.5,695.0,869.0
Колобок,Ушинский К.Д.,,127.0,159.0
Девочка с лисьим хвостом. Том 3,Вон Пхён Сон,,552.0,729.0
"Где обедал, воробей?",Маршак Самуил Яковлевич,,527.0,659.0
Котята: считалочка,Михалков Сергей Владимирович,,527.0,659.0
Собаки и щенки,Майструк Л.В.,,107.0,134.0
Пророчество о драконятах,Сазерленд Туи Т.,9.7,567.0,709.0
Веселые зверята,Андреева Юлия А.,,192.0,240.0
Приключения Незнайки и его друзей: Сказочная повесть,Носов Николай Николаевич,9.6,780.0,975.0
"Раз - ступенька, два - ступенька. Математика для детей 5-7 лет. Часть 2","Петерсон Людмила Георгиевна, Холина Надежда Павловна",,253.0,419.0
Волшебник Изумрудного города,Волков Александр Мелентьевич,9.8,266.0,333.0
Тимур и его команда,Гайдар А.,,263.0,329.0
Кортик,Рыбаков Анатолий Наумович,8.9,263.0,329.0
Огонь и лед,"Хантер, Эрин",9.7,449.0,659.0
Волшебные цветы. Раскраска,,,31.0,39.0
Веселые рассказы о школьниках,Драгунский Виктор Юзефович,,247.0,309.0
Строительная техника,Дмитриева Валентина Геннадьевна,,223.0,279.0
Гоночные машины. Раскраска,,,51.0,64.0
"Уинстон, берегись!",Шойнеманн Фрауке,9.6,455.0,569.0
Учусь писать цифры,,,43.0,54.0
Телефон (мишка),Чуковский К.И.,,155.0,194.0
Герои сказок. Раскраска,,,35.0,44.0
Волшебное слово,Осеева Валентина Александровна,,276.0,345.0
Дело о невидимке,Шойнеманн Фрауке,9.4,455.0,569.0
Хроники Нарнии,Льюис Клайв Стейплз,9.6,1167.0,1459.0
Теремок. Книжка-панорама с движущимися картинками,Нечитайло Г.,9.5,223.0,279.0
Волшебные единорожки (+30 наклеек),Сойкина А.,,215.0,269.0
Кошки и собаки. 100 наклеек,"Скворцова А., ред.",,123.0,154.0
Чебурашка и крокодил Гена. Большая раскраска,Дмитриева В.Г.,,303.0,379.0
Манюня,Абгарян Наринэ Юрьевна,9.5,567.0,709.0
Домашние любимцы. Раскраска,,,35.0,44.0
"Кроссворды ""Обо всем на свете""",,,107.0,134.0
"Раскраска для девочек ""Единороги""",Трощева Т.С.,,55.0,69.0
Жили у бабуси,,,95.0,119.0
В Стране Вечных Каникул,Алексин Анатолий Георгиевич,,247.0,309.0
Дневник Стива. Книга 2. Конёк-квадратноног,Дегтярёва Т.,9.7,424.0,531.0
"100 любимых стихов. (А.Л. Барто, К.И. Чуковский)","Гайдель Екатерина Анатольевна, Барто Агния Львовна",9.0,91.0,119.0
Транспорт. Раскраска,,,39.0,49.0
Волшебник Изумрудного города.,Волков Александр Мелентьевич,9.8,887.0,1109.0
Мышаня. Книжка с наклейками. Более 70 наклеек!,,,99.0,124.0
Машинки. Раскраска,,,35.0,44.0
"Мы едем, едем. Книжка-панорама с движущимися картинками",Тетерин Сергей М.,,151.0,189.0
Смешные истории,Успенский Эдуард Николаевич,,231.0,289.0
Sonic. Судьба доктора Эггмана. Том 2,Флинн Йэн,9.6,647.0,809.0
Приключения Чиполлино (ил. Л. Владимирского),Родари Джанни,9.3,630.0,788.0
Мойдодыр,Чуковский К.И.,,107.0,134.0
Самые первые раскраски. 3+,,,306.0,389.0
Медвежонок Паддингтон и его новые проделки,Бонд Майкл,9.6,663.0,829.0
История с кладбищем,Гейман Нил,9.6,711.0,889.0
"20 необыкновенных девочек, изменивших мир",Трояно Розальба,,663.0,829.0
Лесные домишки,Бианки Виталий Валентинович,,247.0,309.0
Мейзи Хитчинс. Щенок под прикрытием,Вебб Холли,9.6,479.0,599.0
Все о муми-троллях. Книга 2,Янссон Туве Марика,9.4,827.0,1034.0
Прописи. Пишем цифры правильно,Чиркова Светлана Владимировна,,43.0,54.0
"Большущая раскраска. Для девочек, 5+",,,234.0,319.0
Книжки - задвижки. Кто где живет?,Гагарина М.,,348.0,469.0
Подарок для девочек. Большой альбом раскрасок,Жуковская Е.Р.,,215.0,269.0
Цветик-семицветик. Сказки,"Катаев Валентин Петрович, Сутеев Владимир Григорьевич, Цыферов Геннадий Михайлович",,231.0,289.0
Леди Баг и Супер-Кот. Наклей и раскрась (Герои Парижа),,,207.0,259.0
Мишка косолапый. Книжка-панорама с движущимися картинками,Дорофеева В.,,151.0,189.0
Супер-раскраска для малышей,Макарова Л.В.,,207.0,259.0
Остров сокровищ,Стивенсон Роберт Льюис,10.0,280.0,351.0
100 милых картинок для девочек. Раскраска,,,231.0,289.0
Едем в отпуск. Три кота,Купырина Анна Михайловна,,223.0,279.0
Sonic. Из ниоткуда. Комикс. Том 8 (перевод от Diamond Dust),Толубаева Анна,,722.0,903.0
Азбуковозик,,,192.0,240.0
Рикки-Тикки-Тави. Сказки,Киплинг Редьярд Джозеф,,247.0,309.0
Египетский ребус,Вебб Холли,9.5,479.0,599.0
Стихи для детей,Барто Агния Львовна,,279.0,349.0
"Котенок Кэтти, или Секрет в шкафу",Вебб Холли,9.6,327.0,409.0
Сказка о глупом мышонке. Сказка об умном мышонке,Маршак Самуил Яковлевич,9.8,96.0,121.0
Умная собачка Соня,Усачёв Андрей Алексеевич,9.8,455.0,569.0
Идет коза рогатая,"Здорнова Е., худож.",,127.0,159.0
Остров сокровищ,Стивенсон Роберт Льюис,9.7,495.0,619.0
Единорожки. Раскраска с блестящими наклейками,,,167.0,209.0
Кисонька-мурысонька,Строителева Анна,,95.0,119.0
На берегу Темного моря (#1),Питерсон Эндрю,9.6,583.0,729.0
Леди Баг и Супер-Кот. Наклей и раскрась (Дружная команда),,,207.0,259.0
Книга для чтения детям от 6 месяцев до 3-х лет,"Барто Агния Львовна, Маршак Самуил Яковлевич, Берестов Валентин Дмитриевич",,999.0,1249.0
Вечерние образы,Алейникова Е.С.,,191.0,239.0
Путешествие Нильса с дикими гусями,Лагерлёф Сельма Оттилия Лувиса,9.7,1096.0,1371.0
Кто где живет,Леон А.,,207.0,259.0
Транспорт. 100 наклеек,"Скворцова А., ред.",,123.0,154.0
Большая раскраска для девочек,Дмитриева Валентина Геннадьевна,,303.0,379.0
Тренажер. Письменные буквы и цифры,Чиркова Светлана Владимировна,,34.0,54.0
Гравити Фолз. Графический роман. Вып. 2,Хирш Алекс,9.1,676.0,846.0
Букварь (по СанПин),Жукова Надежда Сергеевна,9.6,446.0,558.0
Маленькая злая книга 2. Теперь еще опаснее,Мист М.,9.0,527.0,659.0
Лучшая раскраска для фанатов Minecraft,Кларштейн А.,,106.0,139.0
Сыщик на арене,Шойнеманн Фрауке,9.8,455.0,569.0
Котики. Раскраска. 16 сияющих наклеек,,,119.0,149.0
"Книжки - задвижки. Мама, папа и малыш. Домашние животные",,,348.0,469.0
"Книга с наклейками и заданиями ""Техника""","Бородина К., Килина О., Копырин А.",,376.0,499.0
Корней Чуковский. Сказки. Книжка-панорамка. 4 сказки внутри,Чуковский К.И.,,831.0,1039.0
Гарри Поттер и философский камень (с цветными илл. Дж.Кея),Роулинг Джоан Кэтлин,9.5,2236.0,2795.0
Милый дом Чи. Книга 1,Конами Каната,9.6,623.0,779.0
Большая книга опытов и экспериментов для мальчиков,Вайткене Любовь Дмитриевна,,1087.0,1359.0
Приключения Тома Сойера,Твен М.,9.1,527.0,659.0
Самые первые раскраски. 2+,,,306.0,389.0
Дневник Стива. Да начнутся приключения! Книги 1-5,,,1261.0,1577.0
Я люблю раскрашивать KAWAII,Дегтярёва Т.,,287.0,359.0
Гарри Поттер и Кубок Огня,Роулинг Джоан Кэтлин,9.6,1017.0,1272.0
Дневник Стива. Книга 3. Собачья жизнь,Дегтярёва Т.,9.3,424.0,531.0
Репка,Капица О.И.,,127.0,159.0
"Книга с наклейками и заданиями ""Мои первые животные""","Казакова И., Митченко Ю., Сеидова О.",,376.0,499.0
Мейзи Хитчинс. Тайна мальчика из джунглей,Вебб Холли,9.4,479.0,599.0
Мейзи Хитчинс. Секрет пролитых чернил,Вебб Холли,9.7,479.0,599.0
Бычок,Барто Агния Львовна,,791.0,989.0
Секрет древнего Ордена,Ноубел Джулия,9.1,495.0,619.0
"Котенок Звездочка,или Двойной сюрприз",Вебб Холли,9.7,327.0,409.0
Спасти Одетту,Шойнеманн Фрауке,9.6,455.0,569.0
Собачка Соня на даче,Усачёв Андрей Алексеевич,,455.0,569.0
Аид. История повелителя Подземного мира,Валентино Серена,9.1,527.0,659.0
Отчего и почему?,Ганери Анита,9.6,537.0,679.0
Приключения Незнайки и его друзей (ил. О. Зобниной),Носов Николай Николаевич,9.5,919.0,1149.0
Времена года. Мой самый большой альбом раскрасок,Илюхина Е. (ред.),,399.0,499.0
Алиса в Стране чудес (ил. И. Петелиной),"Кэрролл, Льюис",9.6,663.0,829.0
Вырабатываем красивый почерк. Прописи. 35 уроков,Чайчук Виктор Андреевич,,187.0,279.0
Машинки,Панасюк Инна Сергеевна,,192.0,240.0
Петербург для детей,Первушина Елена Владимировна,,775.0,969.0
"Рабочая тетрадь ""Изучаем математику"" часть 1",,8.7,43.0,54.0
Урфин Джюс и его деревянные солдаты,Волков Александр Мелентьевич,9.7,735.0,919.0
Сказочные принцессы (+30 наклеек),Сойкина А.,,215.0,269.0
Коты Эрмитажа. Официальная новеллизация,Маслова Анна,8.4,399.0,499.0
Что такое хорошо,"Пляцковский Михаил Спартакович, Михалков Сергей Владимирович, Барто Агния Львовна, Маяковский Владимир Владимирович, Берестов Валентин Дмитриевич",9.2,107.0,134.0
Не открывать! Кусается!,Хаберзак Шарлотта,9.5,611.0,764.0
Сын полка,Катаев Валентин Петрович,9.5,187.0,239.0
Маленький принц,Сент-Экзюпери Антуан де,9.5,327.0,409.0
Котенок Шмяк и Сырник. Большая книга приключений,Скоттон Роб,,464.0,659.0
Теремок (Медведь),Егорова Ирина Н.,,95.0,119.0
Тайна пропавшей кошки,Блайтон Энид Мэри,10.0,351.0,439.0
Sonic. Битва за Остров Ангела. Комикс. Том 3,Флинн Йэн,9.6,647.0,809.0
Любимые игрушки. Раскраска,,,39.0,49.0
Ладушки-ладошки,Балуева Оксана,,95.0,119.0
Дюймовочка. Сказки,Андерсен Ганс Христиан,,254.0,318.0
Кукольный домик,Бутикова М.,10.0,616.0,771.0
Буквы и цифры,"Грищенко В., ред.",,143.0,179.0
Белый клык,Лондон Дж.,,1127.0,1409.0
"Аля, Кляксич и буква ""А""",Токмакова Ирина Петровна,,254.0,318.0
Остров сокровищ,Стивенсон Роберт Льюис,,1167.0,1459.0
Учусь писать слова,,,43.0,54.0
Гравити Фолз. Забытые легенды. Графический роман.,Хирш Алекс,9.6,952.0,1191.0
Коты-детективы. Бесстрашная команда: Кто подставил Жана Усача? Загадочное дело о пропавших колбасках. Громкое преступление в парижском банке: сборник,"Гатти Алессандро , Морозинотто Давиде",,647.0,809.0
Автомобили,Дмитриева Валентина Геннадьевна,,399.0,499.0
Секретный ключ,Джонс Лина,9.2,527.0,659.0
Три кота. Maxi-постер. Раскрась сам,Пятикова Ю.,,335.0,519.0
Звукоподражалки,Сосновский Евгений Анатольевич,,217.0,279.0
Волшебник Изумрудного города,Волков Александр Мелентьевич,9.4,791.0,989.0
Все-все-все лучшие истории о Простоквашино,Успенский Эдуард Николаевич,,775.0,969.0
Остров сокровищ,Стивенсон Роберт Льюис,9.4,879.0,1099.0
Прописи. Соединяем буквы правильно,Чиркова Светлана Владимировна,,34.0,54.0
"Скетч-раскраска ""Для девчонок""",,,191.0,239.0
Почему русалка плачет,Вебб Холли,9.7,479.0,599.0
Транспорт и другая техника. Книга с наклейками,Бородина К.,,371.0,499.0
Котенок Шмяк и Сырник. Большая книга историй о дружбе,Скоттон Роб,,464.0,659.0
"Котенок Сильвер, или Полосатый храбрец",Вебб Холли,9.6,460.0,575.0
Маленькая злая книга. Специальное издание. Читай с друзьями!,Мист М.,7.4,495.0,619.0
Лесная газета. Рассказы,Бианки Виталий Валентинович,,231.0,289.0
Гуси-гуси! Га-га-га!,Панасюк Инна Сергеевна,,130.0,163.0
Книжки - задвижки. Кто там спрятался?,Гагарина М.,,348.0,469.0
Genshin Impact. Альбом 100 наклеек (фиолетовый),Сойкина А. (ред.),,174.0,219.0
Поп-звёзды,Боумен Люси,,647.0,809.0
Таймлесс. Рубиновая книга,Гир Керстин,9.6,544.0,709.0
Техника,Талалаева Е.В.,,1044.0,1305.0
Перси Джексон и похититель молний,Риордан Рик,9.7,495.0,619.0
Три кота и море приключений. Maxi-постер. Раскрась сам,,,335.0,519.0
Умный малыш. Касса букв. Набор карточек для детей.,,8.7,83.0,104.0
Три кота. На пикник,,,223.0,279.0
Полное руководство по режиму выживания в Minecraft,Липскомб Дэн,,607.0,759.0
Тетрадь с заданиями для развития детей. Изучаем грамоту. Часть 1,,8.2,43.0,54.0
Динозавры,,,616.0,771.0
Маленький принц,Сент-Экзюпери Антуан де,9.3,271.0,339.0
Оригами. Магия японского искусства. 50 моделей для складывания,Клам Аделина,,1167.0,1459.0
"20 необыкновенных мальчиков, изменивших мир",Оливьери Якопо,,663.0,829.0
Динозавры,"Агоста Лоредана, МакРей Энн",,351.0,439.0
Мегараскраска Майнкрафт. Раскрась мир игры,Фасхутдинов Р. (ред.),,215.0,269.0
Котята. Более 300 наклеек,Уотт Фиона,,370.0,463.0
Паучий переполох!,У Сянминь,,556.0,679.0
Книжки-картонки. Домашние животные,Сосновский Евгений Анатольевич,,217.0,279.0
Машины. Многоразовая водная раскраска с фломастером,Цветкова Наталья Валерьевна,,455.0,569.0
Любимые сказки. Книжка-панорамка. 4 сказки внутри,Шалухина О.,,697.0,1039.0
Тетрадь с заданиями для развития детей. Изучаем математику. Часть 2,,8.3,43.0,54.0
Гарри Поттер и Орден Феникса,Роулинг Джоан Кэтлин,9.6,1170.0,1463.0
Кошкин дом. Книжка-панорама с движущимися фигурками.,,,215.0,269.0
От А до Я. Рабочая тетрадь для детей 5-6 лет. ФГОС ДО,Колесникова Елена Владимировна,9.2,191.0,317.0
"Котёнок Стенли, или Настоящий клад: повесть",Вебб Холли,9.6,327.0,409.0
Очень необычная фея,Манкастер Гарриет,9.3,495.0,619.0
"Приключения Буратино, или Золотой ключик",Толстой Алексей Николаевич,9.8,567.0,709.0
Матушка Готель. История старой ведьмы,Валентино Серена,8.9,495.0,619.0
Домашние животные. Многоразовая водная раскраска с фломастером,Цветкова Наталья Валерьевна,,492.0,616.0
Спецтехника. Раскраска,,,59.0,74.0
Блокада Ленинграда : рассказы,Алексеев Сергей Петрович,,399.0,499.0
Единороги. Более 400 наклеек!,Уотт Фиона,,616.0,771.0
Робинзон Крузо,Дефо Даниэль,,999.0,1249.0
"Книга с наклейками и заданиями ""Такие разные животные""","Белоголовская Г., Васильева Н., Митченко Ю.и",,376.0,499.0
Книжки-картонки. Животные,,,217.0,279.0
Мяу! Большая книга добрых историй,Вебб Холли,,527.0,659.0
Мир животных. 100 наклеек,"Скворцова А., ред.",,123.0,154.0
Самая милая раскраска,,,131.0,164.0
Стихи и сказки,Чуковский К.И.,,263.0,329.0
100 считалок и потешек,Дмитриева Валентина Геннадьевна,,91.0,119.0
Удивительные приключения Робинзона Крузо,Дефо Даниэль,,247.0,309.0
Рассказы о войне,"Михалков Сергей Владимирович, Кассиль Лев Абрамович, Железников Владимир Карпович",,231.0,289.0
Пёс по имени Мани,Шефер Бодо,,600.0,858.0
Мифы Древней Греции (ил. А. Власовой),Кун Николай Альбертович,9.8,1423.0,1779.0
"Щенок Рина, или Таинственное путешествие",Вебб Холли,9.5,460.0,575.0
"Щенок Уголек, или Как перестать бояться",Вебб Холли,9.5,327.0,409.0
Большая раскраска для малышей,Дмитриева Валентина Геннадьевна,,287.0,359.0
"Раз - ступенька, два - ступенька... Математика для детей 5-7 лет. Часть 1","Петерсон Людмила Георгиевна, Холина Надежда Павловна",,253.0,419.0
Санкт-Петербург. Стихотворная раскраска,Воронцова Д.,,155.0,194.0
Русалочки,Уотт Фиона,,647.0,809.0
"Малыш и Карлсон, который живёт на крыше",Линдгрен Астрид Анни Эмилия,9.6,607.0,759.0
"Животные. Как ""говорят""","Гагарина М., отв. ред.",,217.0,279.0
100 тысяч почему,Альтшулер Виктор Сергеевич,,1113.0,1392.0
"Супер-пупер раскраска ""Для девочек""",,,167.0,209.0
Тетрадь с заданиями для развития детей. Изучаем грамоту. Часть 2,,8.1,43.0,54.0
Букварь,Жукова Надежда Сергеевна,9.3,446.0,558.0
Пишем буквы и цифры. IQ-прописи (+ фломастер),Тимофеева Татьяна Владимировна,,415.0,519.0
История России. Панорама нужных знаний,Школьник Юлия Константиновна,,791.0,989.0
Тайна секретной комнаты,Блайтон Энид Мэри,9.5,351.0,439.0
Маленькая злая книга 3. Твое время пришло,Мист М.,9.3,527.0,659.0
"Супер-пупер раскраска ""Для мальчиков""",,,149.0,209.0
Детективы-футболисты. Тайна семи голов,Лоренсо Э.,,663.0,829.0
Веселая азбука. Пишем печатные буквы. Рисуй и стирай (+фломастер),,,287.0,359.0
Повседневные образы,Юзеева Г.З.,,191.0,239.0
"Хоббит, или туда и обратно",Толкин Джон Рональд Руэл,9.6,831.0,1039.0
"Котёнок Дымка, или Тайна домика на дереве",Вебб Холли,9.7,460.0,575.0
Сказки и картинки,Сутеев Владимир Григорьевич,9.8,815.0,1019.0
"Прописи. Пишем буквы, слоги, слова, предложения",,,99.0,124.0
АМОНГ АС. Предатель в космосе,Ривьер Лаура,,479.0,599.0
Ушастая раскраска На Ферме,Баркова Н. (худ.),,111.0,139.0
"Малыш и Карлсон, который живет на крыше: сказочная повесть",Линдгрен Астрид Анни Эмилия,8.9,986.0,1249.0
Учимся писать цифры,Бортникова Елена Федоровна,9.2,55.0,69.0
Медвежонок Паддингтон и его невероятные приключения,Бонд Майкл,9.2,663.0,829.0
Два капитана,Каверин В.А.,9.7,1816.0,2519.0
Винни-Пух и все-все-все,Милн Алан Александр,9.7,919.0,1149.0
Маленькие сказки для первого чтения,Михалков Сергей Владимирович,,263.0,329.0
Волшебник Изумрудного города,Волков Александр Мелентьевич,,263.0,329.0
Кричащая лестница (#1) (в оформлении Полины Dr. Graf),Страуд Джонатан,10.0,527.0,659.0
Мои первые прописи.5-6лет,Бортникова Елена Федоровна,9.4,55.0,69.0
"Стихи, сказки, рассказы для первого чтения","Барто Агния Львовна, Сутеев Владимир Григорьевич, Успенский Эдуард Николаевич",,567.0,709.0
Подводный мир. Книга с наклейками. Более 600 наклеек,,,371.0,499.0
Sonic. Кризис в городе. Комикс. Том. 5,Флинн Йэн,10.0,647.0,809.0
Крокодил Гена и его друзья,Успенский Эдуард Николаевич,9.4,1047.0,1309.0
Сказки барда Бидля,Роулинг Джоан Кэтлин,9.1,822.0,1028.0
Транспорт,Станкевич Светлана Анатольевна,,207.0,259.0
Гравити Фолз. Истории о странном и необъяснимом,,,952.0,1191.0
Лесные сказки,Сладков Николай Иванович,,231.0,289.0
Я люблю раскрашивать в стиле Minecraft,Гудкова А.А.,,272.0,340.0
"Этикет для юной леди. 50 правил, которые должна знать каждая девушка",Бриджес Джон,9.5,527.0,659.0
Умный малыш. Касса цифр. Набор карточек для детей.,,8.9,83.0,104.0
Большая раскраска для малышей,Гайдель Екатерина Анатольевна,,207.0,259.0
